[ 2026-04-10 08:12:38,097 ] 164 numexpr.utils - INFO - NumExpr defaulting to 14 threads.
[ 2026-04-10 08:12:41,253 ] 16 root - INFO - Initiate the data ingestion
[ 2026-04-10 08:13:04,813 ] 67 root - INFO - Performed train test split on the dataframe
[ 2026-04-10 08:13:04,814 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-10 08:13:04,814 ] 71 root - INFO - Exporting train and test file path.
[ 2026-04-10 08:13:04,864 ] 77 root - INFO - Exported train and test file path.
[ 2026-04-10 08:13:04,865 ] 18 root - INFO - Data Initiation completed
[ 2026-04-10 08:13:04,880 ] 23 root - INFO - Intitate the data validation
[ 2026-04-10 08:13:04,969 ] 33 root - INFO - Required number of columns:2
[ 2026-04-10 08:13:04,969 ] 34 root - INFO - Dataframe has columns;31
[ 2026-04-10 08:13:04,969 ] 33 root - INFO - Required number of columns:2
[ 2026-04-10 08:13:04,969 ] 34 root - INFO - Dataframe has columns;31
[ 2026-04-10 08:13:05,128 ] 25 root - INFO - Data validation completed
[ 2026-04-10 08:13:05,128 ] 29 root - INFO - Data Transformation started
[ 2026-04-10 08:13:05,128 ] 49 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-10 08:13:05,128 ] 51 root - INFO - Starting Data Transformation
[ 2026-04-10 08:13:05,147 ] 34 root - INFO - Entered get_data_transformer object method of Transformation class
[ 2026-04-10 08:13:05,147 ] 39 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-10 08:13:05,161 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-10 08:13:05,164 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-10 08:13:05,165 ] 33 root - INFO - Data Transformation completed
[ 2026-04-10 08:13:05,165 ] 35 root - INFO - Model Training sstared
