[ 2026-04-10 08:13:58,459 ] 164 numexpr.utils - INFO - NumExpr defaulting to 14 threads.
[ 2026-04-10 08:14:00,153 ] 19 root - INFO - Initiate the data ingestion
[ 2026-04-10 08:14:24,706 ] 67 root - INFO - Performed train test split on the dataframe
[ 2026-04-10 08:14:24,706 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-10 08:14:24,707 ] 71 root - INFO - Exporting train and test file path.
[ 2026-04-10 08:14:24,743 ] 77 root - INFO - Exported train and test file path.
[ 2026-04-10 08:14:24,744 ] 21 root - INFO - Data Initiation completed
[ 2026-04-10 08:14:24,750 ] 26 root - INFO - Intitate the data validation
[ 2026-04-10 08:14:24,827 ] 33 root - INFO - Required number of columns:2
[ 2026-04-10 08:14:24,827 ] 34 root - INFO - Dataframe has columns;31
[ 2026-04-10 08:14:24,828 ] 33 root - INFO - Required number of columns:2
[ 2026-04-10 08:14:24,828 ] 34 root - INFO - Dataframe has columns;31
[ 2026-04-10 08:14:24,957 ] 28 root - INFO - Data validation completed
[ 2026-04-10 08:14:24,957 ] 32 root - INFO - Data Transformation started
[ 2026-04-10 08:14:24,957 ] 49 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-10 08:14:24,957 ] 51 root - INFO - Starting Data Transformation
[ 2026-04-10 08:14:24,981 ] 34 root - INFO - Entered get_data_transformer object method of Transformation class
[ 2026-04-10 08:14:24,981 ] 39 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-10 08:14:24,997 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-10 08:14:25,001 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-10 08:14:25,002 ] 36 root - INFO - Data Transformation completed
[ 2026-04-10 08:14:25,002 ] 38 root - INFO - Model Training sstared
