[ 2026-04-10 13:37:13,289 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2026-04-10 13:37:14,061 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2026-04-10 13:37:15,427 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-04-10 13:37:15,435 ] 107 dagshub - INFO - Accessing as sharmaprashantcs
[ 2026-04-10 13:37:17,079 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/sharmaprashantcs/networksecurity "HTTP/1.1 200 OK"
[ 2026-04-10 13:37:18,449 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-04-10 13:37:18,452 ] 107 dagshub - INFO - Initialized MLflow to track repo "sharmaprashantcs/networksecurity"
[ 2026-04-10 13:37:18,454 ] 107 dagshub - INFO - Repository sharmaprashantcs/networksecurity initialized!
[ 2026-04-10 13:37:18,454 ] 19 root - INFO - Initiate the data ingestion
[ 2026-04-10 13:38:32,262 ] 67 root - INFO - Performed train test split on the dataframe
[ 2026-04-10 13:38:32,262 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-10 13:38:32,263 ] 71 root - INFO - Exporting train and test file path.
[ 2026-04-10 13:38:32,344 ] 77 root - INFO - Exported train and test file path.
[ 2026-04-10 13:38:32,345 ] 21 root - INFO - Data Initiation completed
[ 2026-04-10 13:38:32,366 ] 26 root - INFO - Intitate the data validation
[ 2026-04-10 13:38:32,480 ] 33 root - INFO - Required number of columns:2
[ 2026-04-10 13:38:32,481 ] 34 root - INFO - Dataframe has columns;31
[ 2026-04-10 13:38:32,481 ] 33 root - INFO - Required number of columns:2
[ 2026-04-10 13:38:32,481 ] 34 root - INFO - Dataframe has columns;31
[ 2026-04-10 13:38:32,722 ] 28 root - INFO - Data validation completed
[ 2026-04-10 13:38:32,723 ] 32 root - INFO - Data Transformation started
[ 2026-04-10 13:38:32,723 ] 49 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-10 13:38:32,723 ] 51 root - INFO - Starting Data Transformation
[ 2026-04-10 13:38:32,758 ] 34 root - INFO - Entered get_data_transformer object method of Transformation class
[ 2026-04-10 13:38:32,759 ] 39 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-10 13:38:32,778 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-10 13:38:32,783 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-10 13:38:32,785 ] 36 root - INFO - Data Transformation completed
[ 2026-04-10 13:38:32,785 ] 38 root - INFO - Model Training sstared
[ 2026-04-10 13:39:54,526 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-10 13:39:54,527 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-10 13:39:54,527 ] 122 root - INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_10_202613_36_29\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9906485057938605, precision_score=0.9882376799837761, recall_score=0.9930711228856736), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9785544082605242, precision_score=0.9716088328075709, recall_score=0.9856))
[ 2026-04-10 13:39:54,530 ] 43 root - INFO - Model Training artifact created
