[ 2026-04-09 18:31:30,218 ] 164 numexpr.utils - INFO - NumExpr defaulting to 14 threads.
[ 2026-04-09 18:31:31,778 ] 15 root - INFO - Initiate the data ingestion
[ 2026-04-09 18:32:44,725 ] 67 root - INFO - Performed train test split on the dataframe
[ 2026-04-09 18:32:44,725 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-09 18:32:44,725 ] 71 root - INFO - Exporting train and test file path.
[ 2026-04-09 18:32:44,758 ] 77 root - INFO - Exported train and test file path.
[ 2026-04-09 18:32:44,759 ] 17 root - INFO - Data Initiation completed
[ 2026-04-09 18:32:44,763 ] 22 root - INFO - Intitate the data validation
[ 2026-04-09 18:32:44,861 ] 33 root - INFO - Required number of columns:2
[ 2026-04-09 18:32:44,862 ] 34 root - INFO - Dataframe has columns;31
[ 2026-04-09 18:32:44,862 ] 33 root - INFO - Required number of columns:2
[ 2026-04-09 18:32:44,862 ] 34 root - INFO - Dataframe has columns;31
[ 2026-04-09 18:32:44,953 ] 24 root - INFO - Data validation completed
[ 2026-04-09 18:32:44,954 ] 28 root - INFO - Data Transformation started
[ 2026-04-09 18:32:44,954 ] 49 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-09 18:32:44,954 ] 51 root - INFO - Starting Data Transformation
[ 2026-04-09 18:32:44,970 ] 34 root - INFO - Entered get_data_transformer object method of Transformation class
[ 2026-04-09 18:32:44,970 ] 39 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-09 18:32:44,980 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-09 18:32:44,984 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-09 18:32:44,986 ] 32 root - INFO - Data Transformation completed
