[ 2026-04-10 13:09:54,438 ] 164 numexpr.utils - INFO - NumExpr defaulting to 14 threads.
[ 2026-04-10 13:09:58,688 ] 19 root - INFO - Initiate the data ingestion
[ 2026-04-10 13:11:08,489 ] 67 root - INFO - Performed train test split on the dataframe
[ 2026-04-10 13:11:08,489 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-10 13:11:08,489 ] 71 root - INFO - Exporting train and test file path.
[ 2026-04-10 13:11:08,539 ] 77 root - INFO - Exported train and test file path.
[ 2026-04-10 13:11:08,540 ] 21 root - INFO - Data Initiation completed
[ 2026-04-10 13:11:08,555 ] 26 root - INFO - Intitate the data validation
[ 2026-04-10 13:11:08,627 ] 33 root - INFO - Required number of columns:2
[ 2026-04-10 13:11:08,627 ] 34 root - INFO - Dataframe has columns;31
[ 2026-04-10 13:11:08,627 ] 33 root - INFO - Required number of columns:2
[ 2026-04-10 13:11:08,627 ] 34 root - INFO - Dataframe has columns;31
[ 2026-04-10 13:11:08,714 ] 28 root - INFO - Data validation completed
[ 2026-04-10 13:11:08,714 ] 32 root - INFO - Data Transformation started
[ 2026-04-10 13:11:08,715 ] 49 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-10 13:11:08,715 ] 51 root - INFO - Starting Data Transformation
[ 2026-04-10 13:11:08,732 ] 34 root - INFO - Entered get_data_transformer object method of Transformation class
[ 2026-04-10 13:11:08,732 ] 39 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-10 13:11:08,747 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-10 13:11:08,750 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-10 13:11:08,752 ] 36 root - INFO - Data Transformation completed
[ 2026-04-10 13:11:08,752 ] 38 root - INFO - Model Training sstared
